benchmark,exp,flow,wl_gr,vias_gr,time_gr,mem_gr,wl_dr,vias_dr,OFGW,OFGV,OFTW,OFTV,WWW,short_area,min_area,spacing,score,time_dr,mem_dr
ispd18_test1,exp157,PL: Contest; GR: CRP-FPM; DR: Triton (Improve UnitShortCost-Pitch of the layers),416282,35187,1,180,170148530,36943,1736900,225,543210,156,3146910,0,0,0,299841,10,676
ispd18_test1,exp158,PL: Contest; GR: CUGR_ORIG; DR: Triton,415881,37078,2.171,155,170698830,37641,1599770,257,566450,154,3248410,0,0,0,301895,12,660
ispd18_test2,contest,PL: Contest; GR: Contest; DR: LuLuRoute,na,na,na,na,3279212514,335990,120537400,3605,1172540,0,30450360,14763411040,0,62507,82542696,na,na
ispd18_test2,exp28,PL: Contest; GR: Contest; DR: DRCU,na,na,na,na,3133074700,325684,16534140,6542,2117070,0,21654980,19600,0,57,4700933,81,1904
ispd18_test2,exp151,PL: Contest; GR: Contest; DR: Triton,na,na,na,na,3146553540,360057,32563850,9044,4519420,2248,32141745,0,0,0,4832011,207.981,1450.5
ispd18_test2,exp88,PL: Contest; GR: CUGR; DR: Triton,7531410,364357,39.8807,1255.8,3122390285,375045,21871190,3416,6408460,2069,30960670,2,0,0,4799653,170.09,1482.36
ispd18_test2,exp40,PL: Eh?Placer; GR: CUGR; DR: Triton,7398240,364002,37.7316,1267.4,3068080485,375982,25585140,4284,6425625,2116,31120725,0,1,0,4743761,149.927,1560.23
ispd18_test2,exp89,PL: DreamPlace; GR: CUGR; DR: Triton,7603760,371873,38.6914,1277.27,3153263050,382852,25630265,4208,6679940,2094,30745305,0,0,0,4862874,161.171,1558.16
ispd18_test2,expT2,PL: ILP-Based; GR: ILP-based; DR: Triton,7609460,299817,38.475,na,3134504050,358929,30275830,5245,4037525,2130,31678390,0,0,0,4803296,896.751,na
ispd18_test2,exp90,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),7542650,351333,76.6938,1322.35,3128614165,370606,20048410,3800,6729025,2125,33199695,0,0,0,4799436,167.286,1543.57
ispd18_test2,exp91,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),7565930,336197,536.912,2465.55,3139265330,365926,18346465,4264,6895885,2200,35293100,0,0,0,4805116,139.528,1461.68
ispd18_test2,exp152,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),7615480,376860,178.766,1935,3107625295,379685,2022648870,125221,6918995,1940,28726225,40800,0,0,9908277,117,1743
ispd18_test2,exp157,PL: Contest; GR: CRP-FPM; DR: Triton (Improve UnitShortCost-Pitch of the layers),7536810,365030,13,969,3123423650,375145,22330505,3591,6423335,2070,31012050,0,2,0,4802616,130,1515
ispd18_test2,exp158,PL: Contest; GR: CUGR_ORIG; DR: Triton,7653830,386773,17,944,3124320640,381268,21267130,3141,6449920,2045,30123405,0,0,0,4809661,169,1662
ispd18_test3,contest,PL: Contest; GR: Contest; DR: LuLuRoute,na,na,na,na,3610617115,318133,363487750,6373,821180,0,25544050,44770707540,0,65735,178905476,na,na
ispd18_test3,exp28,PL: Contest; GR: Contest; DR: DRCU,na,na,na,na,3487122926,318309,29963440,6636,2376740,0,24183400,35599800,0,94,5298745,120,2145
ispd18_test3,exp151,PL: Contest; GR: Contest; DR: Triton,na,na,na,na,3503841165,355898,36608885,8450,4874455,2318,33052780,2112000,0,21,5299713,373.854,1698.67
ispd18_test3,exp88,PL: Contest; GR: CUGR; DR: Triton,8513870,361818,55.8579,1641.73,3505916525,372764,24366080,3767,6501570,2143,30637475,0,0,0,5279470,144.951,1649.9
ispd18_test3,exp40,PL: Eh?Placer; GR: CUGR; DR: Triton,8414270,359834,57.2874,1636.09,3460938290,371727,27448965,4442,6387535,2136,30815105,0,0,0,5229849,151.289,1533.68
ispd18_test3,exp89,PL: DreamPlace; GR: CUGR; DR: Triton,8579010,366713,58.0845,1644.14,3530573570,377650,26126305,4059,6564845,2140,30644850,0,0,0,5324850,164.421,1711.38
ispd18_test3,expT2,PL: ILP-Based; GR: ILP-based; DR: Triton,8541400,300846,41.804,na,3506292110,357029,31807120,4891,4733770,2169,32254155,0,0,0,5270054,1177.64,na
ispd18_test3,exp90,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),8509680,349820,100.746,1471.28,3510326235,368257,22476535,3979,6971465,2161,33011330,0,0,0,5277996,151.801,1524.18
ispd18_test3,exp91,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),8511040,336154,671.979,2766.26,3515253810,363371,21579930,3998,7233795,2219,35150110,0,0,0,5277894,171.436,1603.14
ispd18_test3,exp152,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),8503090,371310,160,2299,3498261765,377368,2227467585,105821,6612815,2128,30511995,404080,0,4,10891990,161,1698
